Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Total Precipitation  [sfc],Wind speed  [10 m above gnd],Wind direction  [10 m above gnd]
2017,11,25,0,0,51.85,0,17.31,327.13
2017,11,25,1,0,49.14,0,20.53,330.64
2017,11,25,2,0,46.42,0,21.41,327.8
2017,11,25,3,0,44.13,0,21.79,324.19
2017,11,25,4,0,42.22,0,21.03,321.91
2017,11,25,5,0,40.75,0,19.62,316.85
2017,11,25,6,0,40.71,0,19.17,318.31
2017,11,25,7,0,39.22,0,18.51,313.53
2017,11,25,8,0,39.49,0,18.73,310.16
2017,11,25,9,0,40.73,0,19.8,311.79
2017,11,25,10,0,41.36,0,20.56,315
2017,11,25,11,0,41.81,0,19.95,317.73
2017,11,25,12,0,42.55,0,19.08,320.71
2017,11,25,13,0,43.27,0,18.17,322
2017,11,25,14,0,43.56,0,17.76,323.71
2017,11,25,15,0,43.2,0,17.14,324.03
2017,11,25,16,0,42.06,0,16.57,325.45
2017,11,25,17,0,40.44,0,16.5,327.17
2017,11,25,18,0,39.15,0,16.54,329.97
2017,11,25,19,0,37.76,0,16.41,334.13
2017,11,25,20,0,36.48,0,15.87,338.5
2017,11,25,21,0,35.28,0,14.44,343.81
2017,11,25,22,0,34.21,0,12.86,346.93
2017,11,25,23,0,33.22,0,10.8,346.83
2017,11,26,0,0,32.29,0,8.63,343.44
2017,11,26,1,0,31.73,0,7,333.43
2017,11,26,2,0,31.15,0,6.17,316.47
2017,11,26,3,0,30.76,0,5.5,296.57
2017,11,26,4,0,30.51,0,5.61,274.57
2017,11,26,5,0,30.24,0,6.51,254.05
2017,11,26,6,0,30.85,0,6.3,286.5
2017,11,26,7,0,30.47,0,7.16,270
2017,11,26,8,0,32.22,0,8.61,261.03
2017,11,26,9,0,35.02,0,10.47,250.02
2017,11,26,10,0,37.35,0,12.21,243.9
2017,11,26,11,0,40.26,0,13.35,238.71
2017,11,26,12,0,43.21,0,14.41,233.84
2017,11,26,13,0,45.9,0,15.62,231.98
2017,11,26,14,0,47.55,0,16.38,231.1
2017,11,26,15,0,48.07,0,16.53,230.49
2017,11,26,16,0,47.12,0,16.5,229.4
